CustomerID;Count;Country;State;City;Zip Code;Lat Long;Latitude;Longitude;Gender;Senior Citizen;Partner;Dependents;Tenure Months;Phone Service;Multiple Lines;Internet Service;Online Security;Online Backup;Device Protection;Tech Support;Streaming TV;Streaming Movies;Contract;Paperless Billing;Payment Method;Monthly Charges;Total Charges;Churn Label;Churn Value;Churn Score;CLTV;Churn Reason;Age;Under 30;Married;Number of Dependents;Quarter;Referred a Friend;Number of Referrals;Offer;Avg Monthly Long Distance Charges;Internet Type;Avg Monthly GB Download;Streaming Music;Unlimited Data;Total Refunds;Total Extra Data Charges;Total Long Distance Charges;Total Revenue;Satisfaction Score;Customer Status;Churn Category;Population
5917-RYRMG;1;United States;California;Jolon;93928;35.930782, -121.189757;35,930782;-121,189757;Male;Yes;No;No;32;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Credit card (automatic);19,8;587,7;No;0;78;3836;Not Churned;79;No;No;0;Q3;No;0;None;25,89;None;0;No;No;0;0;828,48;1416,18;4;Stayed;Not Churned;254
8746-BFOAJ;1;United States;California;Garden Grove;92845;33.782955, -118.026456;33,782955;-118,026456;Male;Yes;No;No;21;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;No;Bank transfer (automatic);20,5;429,55;No;0;62;5766;Not Churned;79;No;No;0;Q3;No;0;None;23,23;None;0;No;No;0;0;487,83;917,38;4;Stayed;Not Churned;15878
2682-KEVRP;1;United States;California;Woodlake;93286;36.464635, -119.094348;36,464635;-119,094348;Female;Yes;No;No;22;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;One year;Yes;Mailed check;20,05;417;No;0;21;4327;Not Churned;65;No;No;0;Q3;No;0;None;34,39;None;0;No;No;0;0;756,58;1173,58;3;Stayed;Not Churned;8870
1855-CFULU;1;United States;California;Oakland;94619;37.787186, -122.14633;37,787186;-122,14633;Female;Yes;No;No;4;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;No;Mailed check;20,05;91,45;No;0;20;3460;Not Churned;65;No;No;0;Q3;No;0;None;41,98;None;0;No;No;0;0;167,92;259,37;5;Stayed;Not Churned;24518
2384-OVPSA;1;United States;California;Caruthers;93609;36.5276, -119.865999;36,5276;-119,865999;Female;Yes;No;No;38;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Mailed check;20,2;735,9;No;0;71;4947;Not Churned;65;No;No;0;Q3;No;0;None;4,09;None;0;No;No;0;0;155,42;891,32;3;Stayed;Not Churned;5446
4698-KVLLG;1;United States;California;San Quentin;94964;37.942551, -122.491642;37,942551;-122,491642;Female;Yes;No;No;51;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Credit card (automatic);19,6;967,9;No;0;68;4224;Not Churned;66;No;No;0;Q3;No;0;None;47,46;None;0;No;No;0;0;2420,46;3388,36;5;Stayed;Not Churned;6448
0516-QREYC;1;United States;California;Capay;95607;38.681651, -122.130569;38,681651;-122,130569;Female;Yes;No;No;24;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Month-to-month;Yes;Mailed check;20,3;459,95;No;0;71;3740;Not Churned;78;No;No;0;Q3;No;0;None;18,39;None;0;No;No;0;0;441,36;901,31;5;Stayed;Not Churned;262
6139-ZZRBQ;1;United States;California;Granite Bay;95746;38.749466, -121.184196;38,749466;-121,184196;Male;Yes;No;No;64;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;Yes;Bank transfer (automatic);20,05;1198,05;No;0;44;4309;Not Churned;79;No;No;0;Q3;No;0;None;4,99;None;0;No;No;0;0;319,36;1517,41;4;Stayed;Not Churned;20675
7515-LODFU;1;United States;California;Burney;96013;40.946785, -121.719489;40,946785;-121,719489;Male;Yes;No;No;69;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Credit card (automatic);20,3;1356,3;No;0;21;4042;Not Churned;67;No;No;0;Q3;No;0;None;20,62;None;0;No;No;0;0;1422,78;2779,08;3;Stayed;Not Churned;4552
3212-KXOCR;1;United States;California;Inglewood;90302;33.975332, -118.355252;33,975332;-118,355252;Male;No;No;No;52;Yes;No;No;No internet service;No internet service;No internet service;No internet service;No internet service;No internet service;Two year;No;Bank transfer (automatic);21;1107,2;No;0;66;4158;Not Churned;62;No;No;0;Q3;No;0;None;28,3;None;0;No;No;0;0;1471,6;2578,8;4;Stayed;Not Churned;30779
